### IP ADDRESSING SCHEMA ###

AREA NAME		Network Address
CLOUD Area		8.0.0.0/8
HQ-ISP-Internet 	20.20.20.0/30
Branch-ISP-Internet 	30.30.30.0/30
HQ-FWL-ISP		105.100.50.0/30
Branch-FWL-ISP		205.200.100.0/30
HQ-FWL to -MLSW1 	10.20.20.32/30
HQ-FWL TO -MLSW2 	10.20.20.40/30
Branch-FWL to -MLSW1 	10.20.20.40/30
Branch-FWL to -MLSW2 	10.20.20.44/30


###Network & Subnetmask SCHEMA###

HQ WLAN		10.10.0.0/16
BR WLAN 	10.11.0.0/16
HQ LAN 		172.16.0.0/16
BR LAN 		172.17.0.0/17
DMZ 		10.10.10.0/27
MANAGEMENT 	192.168.10.0/24
